Model,Accuracy,Precision,Recall,F1
Random Forest,0.8373983739837398,0.8494623655913979,0.9294117647058824,0.8876404494382022
RF + SMOTE,0.8048780487804879,0.8505747126436781,0.8705882352941177,0.8604651162790697
Logistic Regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082
